Id,PostTypeId,CreationDate,Title,OwnerUserId,Tags,Score,ViewCount,AnswerCount,CommentCount,FavoriteCount
"71864","1","2020-04-06 17:50:27","How to interpret a specific feature importance?","41922","<machine-learning><feature-selection><bioinformatics>","2","148","1","5",""
"71868","1","2020-04-06 18:36:54","Iterate in Keras custom loss function","90006","<keras><loss-function>","2","324","1","0","1"
"71869","1","2020-04-06 19:14:26","tensorboard showing the epoch loss and accuracy for validation data but not training data","70662","<classification><keras><tensorflow><cnn>","1","1469","1","0",""
"71870","1","2020-04-06 19:29:29","Why do decision trees have low accuracy?","88663","<decision-trees><machine-learning-model><prediction><accuracy><esl>","1","514","2","2",""
"71873","1","2020-04-06 20:44:50","Why is the curve for alternative hypothesis shifted compared to that of null hypothesis?","74449","<statistics>","1","117","1","1",""
"71877","1","2020-04-06 22:23:52","How do I discern document structure from differently-tagged XML documents?","94186","<machine-learning><text-mining><normalization><structured-data>","1","21","0","3",""
"71878","1","2020-04-06 22:41:01","What is the best way to match street addresses in a dataset in Python?","94192","<python><dataset><pandas><data-cleaning>","1","38","1","1",""
"71880","1","2020-04-06 23:29:00","upload model to S3","86798","<python><scikit-learn><aws><sagemaker>","1","74","2","0",""
"71882","1","2020-04-07 00:45:04","Creating ANN's (LSTM) for multiple datasets","91793","<machine-learning><neural-network><dataset><lstm><statistics>","1","33","0","0",""
"71884","1","2020-04-07 04:52:58","Question about balancing training data for sentiment analysis (machine learning)","94202","<machine-learning><python><training><sentiment-analysis>","1","44","1","0","1"
"71885","1","2020-04-07 06:01:11","Which ML algorithm should I use for following use case for classification and Why?","94206","<machine-learning><machine-learning-model><data-science-model><azure-ml>","1","135","2","0",""
"71886","1","2020-04-07 06:03:11","Tools to do Semantic Anotation on 3d CAD Models","46818","<machine-learning><deep-learning><3d-object-detection>","1","16","1","0",""
"71890","1","2020-04-07 06:25:53","Is Difference Transformation required for LSTM?","94003","<neural-network><deep-learning><lstm><recurrent-neural-net>","1","63","0","2",""
"71895","1","2020-04-07 07:58:41","How to group and order columns in r","94213","<r>","1","30","1","0",""
"71897","1","2020-04-07 08:18:23","Linear and logistic regression output with same neural network","88695","<machine-learning><neural-network><linear-regression><logistic-regression><loss-function>","1","41","0","0",""
"71898","1","2020-04-07 09:08:31","Issue with custom loss function including parameters in keras autoencoder","94217","<keras><loss-function><autoencoder>","1","67","0","0",""
"71899","1","2020-04-07 09:16:55","Adding high p-value and low R square features in linear regression model to improve result","94220","<machine-learning><statistics><feature-selection><linear-regression><feature-engineering>","2","26","1","0",""
"71900","1","2020-04-07 09:19:59","What is the origin of YOLO/darknet coordinates","51465","<image-classification><computer-vision><image-recognition><opencv><yolo>","0","80","1","0",""
"71901","1","2020-04-07 09:20:11","What's wrong with my backpropagation through time (BTT) calculation or how to multiple a scaled vector and a matrix without matching dimensions?","94219","<neural-network><backpropagation><recurrent-neural-net><linear-algebra>","1","28","0","0",""
"71907","1","2020-04-07 11:48:48","average of 2 classification reports","94046","<python><classification><scikit-learn>","1","98","0","6",""
"71908","1","2020-04-07 11:56:14","GAN Loss Function Notation Clarification","94230","<gan>","2","44","1","0",""
"71910","1","2020-04-07 13:41:13","Hidden Markov Model with Autoregressive emission model?","83768","<markov-process><markov-hidden-model><multivariate-distribution>","1","9","0","0",""
"71915","1","2020-04-07 15:03:39","Increasing minNumObj increasing accuracy in decision tree","94244","<machine-learning><data-mining><weka>","0","239","1","0",""
"71929","1","2020-04-07 21:12:29","Not Access to Confusion Matrix in SVM.SVC.score Scikit-learn Python","74339","<python><classification><scikit-learn><svm><pca>","1","99","1","0",""
"71932","1","2020-04-07 23:20:55","Multivariate Polynomial Feature generation","53849","<linear-regression>","0","37","1","0","1"
"71936","1","2020-04-08 04:54:56","Geometrical Deep Learning Examples","70134","<deep-learning>","1","14","0","0",""
"71949","1","2020-04-08 10:29:07","find the difference between two columns in specific rows","94315","<python><pandas><dataframe>","0","1040","1","3",""
"71950","1","2020-04-08 11:04:19","Artificially expanding the datasets through rotation of images in MNIST","94320","<neural-network><deep-learning><mnist>","4","1049","3","1","1"
"71951","1","2020-04-08 11:19:03","treeExplainer algorithm intuition","94321","<random-forest><decision-trees><xgboost><explainable-ai><shap>","2","54","1","1",""
"71952","1","2020-04-08 11:32:29","BERT classifier with Ktrain API is unable to predict new data","85925","<deep-learning><keras><tensorflow><natural-language-process><bert>","0","454","2","1",""
"71956","1","2020-04-08 12:33:30","Which activation function of the output layer and which loss function are advised to be used for bounded regression?","93860","<neural-network><deep-learning><regression><loss-function><activation-function>","1","26","0","0",""
"82596","1","2020-10-05 20:05:20","PyTorch: Train without dataloader (loop trough dataframe instead)","21257","<python><neural-network><pandas><pytorch>","1","92","0","3",""
"82599","1","2020-10-05 23:57:26","How to check two list (predicted and actual) having different lengths?","96922","<machine-learning><confusion-matrix>","-1","93","1","0",""
"82613","1","2020-10-06 07:48:25","My corr() function in Python keeps resulting in an ""ValueError: The truth value of a Series is ambiguous...""","105709","<python><pandas><correlation><numpy><ipython>","1","420","1","2",""
"82615","1","2020-10-06 08:49:41","Train NN for balanced accuracy","104136","<machine-learning><neural-network><keras><loss-function>","3","34","0","1",""
"82618","1","2020-10-06 10:01:45","Reinforcement Learning with varying state space","105718","<reinforcement-learning>","0","37","0","0",""
"82622","1","2020-10-06 11:41:06","How can a neural network get unstuck from a local minimum?","","<machine-learning><neural-network><deep-learning>","1","57","1","2",""
"82623","1","2020-10-06 12:44:24","Can we combine multiple K-Means Models as a single model?","98","<nlp><clustering><k-means><word-embeddings><word2vec>","2","37","1","0",""
"82624","1","2020-10-06 13:38:48","How can a CNN learn colours?","86970","<cnn><image-classification>","2","201","1","5",""
"82628","1","2020-10-06 14:51:21","How to get the weight matrices of intermediate layers in bidirectional recurrent neural networks?","105734","<deep-learning><training><backpropagation><recurrent-neural-net><gru>","0","21","0","0",""
"82636","1","2020-10-06 18:11:15","training gradient boosting algorithm in python testing in Golang","86325","<python><xgboost><lightgbm><api><catboost>","0","95","1","0",""
"82639","1","2020-10-06 19:23:30","How to evaluate a hurdle model","89795","<machine-learning><classification><regression>","1","31","0","2",""
"82640","1","2020-10-06 19:38:41","COVID: How is the R coefficient calculated?","105746","<regression>","3","52","1","0","2"
"82642","1","2020-10-06 20:47:02","How to claim that a CNN model is lightweight?","99594","<machine-learning><deep-learning><cnn><convolution>","0","23","0","1",""
"82643","1","2020-10-06 21:06:47","What statistical method should i use to find Correlation between number of days and AmountEarned","105749","<correlation><pearsons-correlation-coefficient><spearmans-rank-correlation>","0","31","1","0","0"
"82644","1","2020-10-06 21:15:18","Pull Random Numbers from my Data (Python)","104161","<python><statistics><simulation><monte-carlo>","0","28","1","1",""
"82648","1","2020-10-06 23:01:55","Narrow confidence Interval of forecast","83448","<python><python-3.x><arima><confidence>","0","81","0","2",""
"82649","1","2020-10-06 23:07:36","Classifying sparse binary data for int value","105751","<classification><sparse>","1","20","0","2",""
"82651","1","2020-10-07 03:11:55","What is the explanation of discretized log logistic in the following code? Is there any reference regarding this piece of code?","18818","<machine-learning><tensorflow><statistics><logistic-regression>","0","7","0","0",""
"82653","1","2020-10-07 03:36:41","Why does a simpler model performs better than a complicated one?","105756","<machine-learning><deep-learning><machine-learning-model><model-selection>","0","53","1","1",""
"82654","1","2020-10-07 04:20:04","Is Keras LSTM the right choice?","105423","<keras><tensorflow><lstm>","1","20","0","0",""
"82656","1","2020-10-07 06:35:20","How to Ensemble LGBM and XGBoost Machine Learning Models?","100122","<python><keras><scikit-learn><regression><dataframe>","2","31","0","2",""
"82658","1","2020-10-07 06:41:11","K-Medoid Clustering with Point Weights","105747","<clustering><unsupervised-learning>","1","34","0","1",""
"82663","1","2020-10-07 08:45:08","Train test leakage doubt for Time series","94949","<machine-learning><time-series><data-leakage>","0","28","0","0",""
"82664","1","2020-10-07 09:01:01","What is noise-tolerant learning?","64876","<machine-learning><neural-network><deep-learning><classification><regression>","2","35","1","1",""
"82665","1","2020-10-07 09:05:08","Can I tune a model after training it? (Convolutional Neural Network & Classification)","105770","<neural-network><deep-learning><cnn><convolution><image-recognition>","2","31","1","0",""
"82669","1","2020-10-07 09:52:40","CUDA compatibility of GTX 1650ti versus 1650","105772","<gpu><cuda>","2","1629","1","0",""
"82670","1","2020-10-07 09:52:45","How to interprete percentile information from the describe function in Pandas?","89692","<pandas>","1","95","3","2",""
"82671","1","2020-10-07 09:58:26","Is there a way to compute micro-average for NDCG","31280","<statistics><metric><ndcg>","0","12","0","0",""
"82673","1","2020-10-07 10:04:26","Passing reduced/different feature data to LimeTabularExplainer compared to the original model","13262","<python><explainable-ai><shap><lime>","1","28","0","1",""
"82677","1","2020-10-07 10:21:20","Use heading in Neural Network model","105213","<neural-network><preprocessing><mathematics>","1","57","1","0",""
"82684","1","2020-10-07 12:39:01","Catboost multiclassification evaluation metric: Kappa & WKappa","105778","<python><multiclass-classification><catboost>","2","96","1","0",""
"82686","1","2020-10-07 13:02:19","Combine K-nearest neighbor with categorical embedding","103538","<machine-learning><python><deep-learning><tensorflow><k-nn>","0","82","1","0",""
"82687","1","2020-10-07 13:20:03","Generating synthetic data based off existing real data (in Python)","30359","<python><scikit-learn><dataset><statistics><data>","1","34","0","1","1"
"82689","1","2020-10-07 13:56:06","Learning the task execution steps for a target goal","105781","<deep-learning>","1","32","1","1",""
"82690","1","2020-10-07 14:09:17","how to scale a dataset contains a b&w and Grayscale images","87028","<deep-learning><data-cleaning><image-preprocessing><image>","0","31","1","0",""
"82706","1","2020-10-07 19:51:54","Case weights with sequence to sequence models?","30335","<deep-learning><tensorflow><sequence-to-sequence>","0","5","0","0",""
"82707","1","2020-10-07 20:12:29","Business-related metric for an optimization problem","105798","<classification><metric><performance>","1","25","1","0",""
"82712","1","2020-10-07 22:25:43","Tips on how to create box whisker plot for huge data set","89692","<visualization>","0","20","1","0",""
"71962","1","2020-04-08 14:05:34","Do I have to wrap multiclass SVM in OneVsRestClassifier()?","93553","<machine-learning><scikit-learn><svm><multiclass-classification>","1","85","0","0",""
"71966","1","2020-04-08 16:49:27","Creating a composite score from dataset with no target variable","94336","<feature-selection>","1","108","1","0",""
"71972","1","2020-04-08 17:41:30","Ignore unseen columns with OneHotEncoder","63565","<machine-learning><python><scikit-learn>","1","209","1","0",""
"71974","1","2020-04-08 18:43:52","Calculating precision with concordance matrix","70999","<clustering><evaluation>","1","29","0","0",""
"71976","1","2020-04-08 18:56:51","Does this data work with Convolutional Neural Network","94345","<cnn>","0","37","1","0",""
"71977","1","2020-04-08 19:39:22","Slow GPU While Training CNN","94347","<machine-learning><cnn><training><pytorch><gpu>","0","159","0","3",""
"71978","1","2020-04-08 19:47:16","upsampling imbalanced dataset in decision tree","76260","<dataset><statistics><decision-trees>","-1","49","1","0",""
"71979","1","2020-04-08 20:37:24","Optimization problem with different type of constraints","71504","<python><optimization><matlab><objective-function><linear-programming>","1","17","0","0",""
"71987","1","2020-04-09 00:41:20","XGBoost Objective is Changed","94362","<python><logistic-regression><xgboost>","1","44","2","0",""
"71994","1","2020-04-09 04:55:48","How to add column name","94378","<python><pandas><jupyter>","1","653","1","0",""
"72002","1","2020-04-09 07:14:20","choosing model based on last or best iteration on validation set","91039","<machine-learning><neural-network><cross-validation>","0","289","1","0",""
"72003","1","2020-04-09 07:26:02","Clustering of unlabeled ship images","92541","<machine-learning><tensorflow><clustering><image-classification><image-preprocessing>","1","53","3","0",""
"72004","1","2020-04-09 07:30:07","gradient descent in n dimensions","94388","<machine-learning><gradient-descent>","0","140","2","1","0"
"72008","1","2020-04-09 08:09:47","Calculate correlation between two sensors regarding the time","94394","<python><time-series><pandas><correlation>","0","37","1","0",""
"72024","1","2020-04-09 11:55:35","What is the kernel matrix used for in the kernel trick?","90094","<machine-learning><svm><kernel><matrix>","1","18","0","0",""
"72025","1","2020-04-09 12:15:28","What are good toy problems for testing Transformer architectures?","94421","<dataset><transformer><attention-mechanism>","1","100","2","0","1"
"72031","1","2020-04-09 13:56:41","What does a conservative technique mean in the context of neural networks?","63402","<deep-learning><backpropagation><explainable-ai>","0","19","2","0",""
"72040","1","2020-04-09 16:48:39","Pre-trained model is unable to detect new license plates properly","68028","<machine-learning><deep-learning><cnn>","1","11","0","0",""
"72044","1","2020-04-09 17:14:12","How to train NER LSTM on single sentence level","90661","<machine-learning><nlp><lstm><word-embeddings><named-entity-recognition>","1","77","1","0",""
"72045","1","2020-04-09 17:17:43","Downloading a large dataset in google colaboratory","94444","<colab>","1","15","0","0",""
"72046","1","2020-04-09 17:57:59","Training a binary operator","94447","<tensorflow>","1","27","0","0",""
"72057","1","2020-04-09 21:53:40","Designing a destination prediction model based on historical trips","94467","<classification>","1","26","0","0",""
"72062","1","2020-04-10 01:04:48","Is it acceptable to make new independent variables out of old ones?","94441","<dataset><data><data-cleaning>","0","27","1","0",""
"72063","1","2020-04-10 01:13:24","How do I change the location of Google BigQuery","88539","<data-cleaning><csv><google-cloud>","1","66","1","8",""
"72066","1","2020-04-10 02:18:13","Is there any problem using Euclidean Distance for a data set that includes a lot of values between 0 and 1?","91520","<machine-learning><data-mining><dataset><unsupervised-learning><preprocessing>","1","15","0","0",""
"72068","1","2020-04-10 02:34:49","How do I use matrix math in irregular neural networks such as those generated from neuroevolution (NEAT)?","13165","<machine-learning><neural-network><recurrent-neural-net><genetic-algorithms><matrix>","0","70","1","0",""
"72069","1","2020-04-10 05:13:47","How do you prevent multiple kernels in a CNN from recognizing the same feature?","75569","<neural-network><kernel>","0","10","0","0",""
"72070","1","2020-04-10 05:48:10","Ranked or Ordered Class Classification","94484","<multilabel-classification><data-analysis>","2","33","1","1",""
"72072","1","2020-04-10 08:16:04","Bagging vs pasting in ensemble learning","94499","<machine-learning><variance><bias><ensemble><bagging>","3","93","1","0","1"
"72073","1","2020-04-10 08:51:14","Classification/Regression of Dataset taken at different time","94501","<machine-learning><neural-network><deep-learning><time-series>","1","11","0","0",""
"72074","1","2020-04-10 09:04:50","Can the F1 score be equal to zero?","89592","<classification><performance><metric><confusion-matrix><f1score>","8","3712","3","1",""
"72076","1","2020-04-10 09:25:30","Ngram based Langauge Models learned using an Encoder-Decoder Model","94503","<machine-learning><deep-learning><nlp><predictive-modeling><autoencoder>","1","22","1","0","1"
"72077","1","2020-04-10 09:35:41","Firebase AB testing algorithm","58449","<bayesian><ab-test><implementation>","1","70","0","0","1"
"72082","1","2020-04-10 10:14:43","How can I annotate labels to images automatically?","94506","<computer-vision><multilabel-classification><object-detection>","1","68","1","0",""
"72083","1","2020-04-10 10:34:45","Best model structure for input coordinates producing full images","94507","<machine-learning><keras><computer-vision><convolutional-neural-network>","1","11","0","0",""
"72086","1","2020-04-10 12:11:51","How to ignore vectors of zeros (i.e. paddings) in Keras?","90006","<python><keras><time-series><lstm><word-embeddings>","0","297","1","0",""
"72087","1","2020-04-10 12:58:21","Which is the best way to install Moses for SMT?","94337","<deep-learning><machine-translation>","1","12","0","0",""
"72088","1","2020-04-10 12:59:16","Which machine learning platforms offer model stores?","76955","<aws>","0","11","0","0",""
"82713","1","2020-10-07 22:28:49","the ratio of training set, validation set and testing set in K-fold cross validation","105803","<machine-learning><deep-learning><cross-validation>","0","93","2","0",""
"82719","1","2020-10-08 05:33:05","How to predict the temperature for new points?","105813","<deep-learning><time-series><rnn>","0","16","0","1",""
"82720","1","2020-10-08 06:13:25","Is it possible to predict sentiment of unlabelled dataset using BERT?","91222","<prediction><sentiment-analysis><bert>","0","85","1","0",""
"82721","1","2020-10-08 06:27:25","KL divergence loss goes to zero while training VAE","105815","<neural-network><deep-learning><keras><autoencoder>","1","232","1","0",""
"82723","1","2020-10-08 07:11:59","Minimizing error on unseen data","105502","<machine-learning><classification>","5","243","2","0","1"
"82726","1","2020-10-08 07:47:40","Adding a feature increased amount of transaction however how do you prove it is not simply due to seasonal changes?","70546","<statistics><causalimpact>","0","5","0","0",""
"82727","1","2020-10-08 07:52:23","How to find a 'similarity' measure between 2 pandas dataframes?","85288","<clustering><anomaly-detection>","0","42","0","2",""
"82728","1","2020-10-08 07:53:43","Duplicating data from training set","105502","<machine-learning><training>","2","45","1","0",""
"82729","1","2020-10-08 08:22:31","Sampling for the encoder part of the VAE","77310","<python><neural-network><keras><autoencoder><gaussian>","1","15","0","0",""
"82732","1","2020-10-08 09:40:49","Training loss decreasing but validation loss not decreasing","","<machine-learning><deep-learning>","1","38","0","1",""
"82735","1","2020-10-08 11:24:38","How to generate synthetic data from training set for regression?","105824","<machine-learning><scikit-learn><regression><statistics>","0","20","0","1",""
"82737","1","2020-10-08 11:43:37","Assigning manually a score based on some statistics?","105599","<classification><statistics>","2","24","1","0",""
"82742","1","2020-10-08 14:01:56","Predictive output with your own model built","96922","<machine-learning><python><classification><predictive-modeling><text-classification>","3","31","1","2",""
"82743","1","2020-10-08 14:10:17","ValueError: y should be a 1d array, got an array of shape (285, 30) instead","105837","<machine-learning><python><scikit-learn><svm>","0","6361","2","0",""
"82748","1","2020-10-08 18:15:52","auto_arima results summary (intercept?)","104161","<python><time-series><arima>","1","35","0","0",""
"82753","1","2020-10-08 23:18:31","Text Analysis : Recommendation to identify cause of loss from claim narrative documents","32189","<nlp><r><text-mining><lda><tfidf>","1","23","0","2",""
"82756","1","2020-10-09 03:50:46","LSTM predicting same word repeatedly","","<machine-learning><deep-learning><nlp><lstm>","1","68","0","3",""
"82757","1","2020-10-09 04:21:21","Reduce Categorical Values","73441","<feature-engineering><one-hot-encoding>","0","24","1","0",""
"82758","1","2020-10-09 04:49:47","Time series analysis model evaluation performance metrics integration in time series application","104197","<machine-learning><deep-learning><time-series><evaluation><forecasting>","1","49","1","0",""
"82759","1","2020-10-09 05:10:51","How to find the feature regions where each label is the most expected when using decision trees?","105865","<classification><feature-selection><decision-trees><multilabel-classification><expectation-maximization>","1","31","1","0",""
"82765","1","2020-10-09 08:37:15","NLP: what are the advantages of using a subword tokenizer as opposed to the standard word tokenizer?","59825","<tensorflow><nlp><colab><tokenization>","1","347","1","0",""
"82766","1","2020-10-09 08:50:51","what is the complexity of a bidirectional recurrent neural network?","105734","<deep-learning><time-series><lstm><training><recurrent-neural-net>","1","230","1","2",""
"82769","1","2020-10-09 10:47:00","How are precision and recall better metrics than accuracy for classification in my example?","92182","<classification><multiclass-classification><accuracy>","1","39","1","0",""
"82770","1","2020-10-09 11:01:22","Which is better: multi-output model or separate models for similar tasks?","78563","<deep-learning><multiclass-classification><multilabel-classification><multitask-learning>","0","30","1","0",""
"82772","1","2020-10-09 11:15:12","Practical attention models","6550","<attention-mechanism>","0","29","1","0",""
"82779","1","2020-10-09 13:39:15","How to generate a random sample and distribute values based in an probability distribution?","31819","<probability><sampling><distribution>","1","30","2","0","2"
"82780","1","2020-10-09 14:01:39","How to implement a GridSearchCV custom scorer that is dependent on a training feature?","105882","<loss-function>","2","103","1","0",""
"82781","1","2020-10-09 14:08:36","Why can't we feed datetime to Linear Regression and how does toordinal() different from any other integer datatype?","101581","<python><scikit-learn><linear-regression>","0","41","1","1",""
"82785","1","2020-10-09 15:32:52","Is is possible to see the input labels for a randomforest model?","105885","<python><scikit-learn><random-forest>","0","36","2","1",""
"82788","1","2020-10-09 16:26:07","KL Divergence between Predictions and Ground truth","61440","<machine-learning><predictive-modeling><model-selection><ensemble-modeling><information-theory>","0","32","0","0",""
"82793","1","2020-10-09 20:21:14","Exploring variables to guide xgboost tuning","105893","<visualization><xgboost><hyperparameter-tuning>","4","42","1","0","1"
"82801","1","2020-10-09 22:53:38","Training CNN for object detection","45907","<deep-learning><computer-vision><object-detection><convolutional-neural-network>","0","20","0","0",""
"82803","1","2020-10-10 00:43:57","Difference between text-based image retrieval and natural language object retrieval","105502","<machine-learning><nlp><object-detection><3d-object-detection>","2","55","1","0",""
"82804","1","2020-10-10 06:46:09","How can I make a face verification system?","99494","<deep-learning><classification><cnn><embeddings>","1","26","1","0",""
"72094","1","2020-04-10 15:44:58","Reshaping Numpy arrays","94526","<keras><numpy><python-3.x>","1","72","2","0",""
"72095","1","2020-04-10 16:00:21","Queries related to param_grid and RandomizedSearchCV","94529","<scikit-learn><hyperparameter><scipy>","0","14","0","0","1"
"72098","1","2020-04-10 18:17:13","How to classify/cluster clients of an application of transport like the Uber Model?","94513","<machine-learning><classification><dataset><clustering>","1","14","1","0",""
"72099","1","2020-04-10 18:23:37","Backpropagation with a different sized training set?","94540","<machine-learning><neural-network><backpropagation><linear-algebra>","2","38","2","0",""
"72101","1","2020-04-10 18:43:05","Joining tables from different locations in Bigquery","86640","<google-cloud>","1","691","1","0",""
"72102","1","2020-04-10 18:47:34","Paragraph extraction from text","94539","<python><text><image-preprocessing><opencv><image-segmentation>","1","24","0","0",""
"72105","1","2020-04-10 19:38:31","Predicting correct match of French to English food descriptions","49229","<classification><nlp><word-embeddings><machine-translation>","0","45","1","0",""
"72108","1","2020-04-10 20:23:46","Ranking graph's nodes by score propagation","94549","<statistics><recommender-system><probability><markov-process>","1","29","0","0",""
"72112","1","2020-04-11 03:21:38","Trying to use term document matrix as input to orange 3","94557","<orange><topic-model><lda><orange3>","1","61","0","0",""
"72114","1","2020-04-11 05:57:23","PyTorch time series prediction beyond test data","94563","<neural-network><time-series><lstm><prediction>","1","244","0","0",""
"72118","1","2020-04-11 07:35:19","What information can be drawn from the area between the warping function and the diagonal path in DTW?","94566","<r><time-series>","1","9","0","0",""
"72119","1","2020-04-11 07:43:44","Can we use TF-IDF along with Weighted Frequency for Text Summarization?","68023","<text-mining><information-retrieval><text><automatic-summarization>","0","25","0","0","1"
"72120","1","2020-04-11 08:01:55","How can I save this model(s) and why is the use for “with tf.Graph().as_default()”","90970","<neural-network><tensorflow><reinforcement-learning>","1","199","0","0",""
